date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:22	40940/40940	---M--	200	added ('OK')	application/font-woff2	etag:%224126ba52b3e88ac2e877df5b9b871f5328aaa4a1%22	https://use.typekit.net/af/7d3178/0000000000000000000164c6/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/7d3178/0000000000000000000164c6/27/lc150	(from https://use.typekit.net/apq6esv.css)
22:31:23	48392/48392	---M--	200	added ('OK')	application/font-woff	etag:%224126ba52b3e88ac2e877df5b9b871f5328aaa4a1%22	https://use.typekit.net/af/7d3178/0000000000000000000164c6/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/7d3178/0000000000000000000164c6/27/dc150	(from https://use.typekit.net/apq6esv.css)
22:31:24	105104/105104	---M-Z	200	added ('OK')	font/opentype	etag:W/%224126ba52b3e88ac2e877df5b9b871f5328aaa4a1%22	https://use.typekit.net/af/7d3178/0000000000000000000164c6/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/7d3178/0000000000000000000164c6/27/ac150	(from https://use.typekit.net/apq6esv.css)
22:31:24	42868/42868	---M--	200	added ('OK')	application/font-woff2	etag:%2272ad688d06258606aa5c339f19c76c3d8031805f%22	https://use.typekit.net/af/233b59/0000000000000000000164c8/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/233b59/0000000000000000000164c8/27/l652f	(from https://use.typekit.net/apq6esv.css)
22:31:25	50304/50304	---M--	200	added ('OK')	application/font-woff	etag:%2272ad688d06258606aa5c339f19c76c3d8031805f%22	https://use.typekit.net/af/233b59/0000000000000000000164c8/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/233b59/0000000000000000000164c8/27/d652f	(from https://use.typekit.net/apq6esv.css)
22:31:25	105968/105968	---M-Z	200	added ('OK')	font/opentype	etag:W/%2272ad688d06258606aa5c339f19c76c3d8031805f%22	https://use.typekit.net/af/233b59/0000000000000000000164c8/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/233b59/0000000000000000000164c8/27/a652f	(from https://use.typekit.net/apq6esv.css)
22:31:26	42304/42304	---M--	200	added ('OK')	application/font-woff2	etag:%22115127d4cbbbcce642a4d9a33cf16f69a7b1e713%22	https://use.typekit.net/af/520c05/0000000000000000000164ca/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/520c05/0000000000000000000164ca/27/le003	(from https://use.typekit.net/apq6esv.css)
22:31:26	49852/49852	---M--	200	added ('OK')	application/font-woff	etag:%22115127d4cbbbcce642a4d9a33cf16f69a7b1e713%22	https://use.typekit.net/af/520c05/0000000000000000000164ca/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/520c05/0000000000000000000164ca/27/de003	(from https://use.typekit.net/apq6esv.css)
22:31:27	105908/105908	---M-Z	200	added ('OK')	font/opentype	etag:W/%22115127d4cbbbcce642a4d9a33cf16f69a7b1e713%22	https://use.typekit.net/af/520c05/0000000000000000000164ca/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/520c05/0000000000000000000164ca/27/ae003	(from https://use.typekit.net/apq6esv.css)
22:31:27	42648/42648	---M--	200	added ('OK')	application/font-woff2	etag:%2220de265a084c09c345047c95cdcf705d245d1e23%22	https://use.typekit.net/af/5b100b/0000000000000000000164d0/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n8&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/5b100b/0000000000000000000164d0/27/l7238	(from https://use.typekit.net/apq6esv.css)
22:31:28	50160/50160	---M--	200	added ('OK')	application/font-woff	etag:%2220de265a084c09c345047c95cdcf705d245d1e23%22	https://use.typekit.net/af/5b100b/0000000000000000000164d0/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n8&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/5b100b/0000000000000000000164d0/27/d7238	(from https://use.typekit.net/apq6esv.css)
22:31:29	105700/105700	---M-Z	200	added ('OK')	font/opentype	etag:W/%2220de265a084c09c345047c95cdcf705d245d1e23%22	https://use.typekit.net/af/5b100b/0000000000000000000164d0/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n8&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/5b100b/0000000000000000000164d0/27/a7238	(from https://use.typekit.net/apq6esv.css)
22:31:29	42540/42540	---M--	200	added ('OK')	application/font-woff2	etag:%2239711a76f60c0d670430d2bff6c103bd80a0b0e0%22	https://use.typekit.net/af/f63ea2/0000000000000000000164d2/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/f63ea2/0000000000000000000164d2/27/l3eab	(from https://use.typekit.net/apq6esv.css)
22:31:30	49672/49672	---M--	200	added ('OK')	application/font-woff	etag:%2239711a76f60c0d670430d2bff6c103bd80a0b0e0%22	https://use.typekit.net/af/f63ea2/0000000000000000000164d2/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/f63ea2/0000000000000000000164d2/27/d3eab	(from https://use.typekit.net/apq6esv.css)
22:31:31	1/1	---M--	200	added ('OK')	text/plain	etag:%225beaac57-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/apq6esv.css)
22:31:32	105896/105896	---M-Z	200	added ('OK')	font/opentype	etag:W/%2239711a76f60c0d670430d2bff6c103bd80a0b0e0%22	https://use.typekit.net/af/f63ea2/0000000000000000000164d2/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	E:/MINI-PROJECT/team2/x/use.typekit.net/af/f63ea2/0000000000000000000164d2/27/a3eab	(from https://use.typekit.net/apq6esv.css)
